Sex,Age,Name,State,Address,Famsize,Pstatus,Medu,Fedu,Mjob,Fjob,Guardian,Math_Score,Reading_Score,Writing_Score,Attendance_Rate,Suspensions,Expulsions,Teacher_Support,Counseling,Social_Worker_Visits,Parental_Involvement,GPA
Female,15,Isabella Jones,Utah,Urban,GT3,T,Graduate,Graduate,Teacher,Teacher,Other,70.0,,60.0,80.0,0,0.0,Medium,No,0,Medium,3.032906581
Female,15,Emma Smith,Nevada,Urban,GT3,A,Graduate,Graduate,Services,Health,Father,60.0,70.0,60.0,70.0,0,0.0,Medium,Yes,0,Medium,3.136607321
Male,17,Noah Williams,Oregon,Rural,LE3,A,Graduate,Graduate,Other,Services,Father,60.0,60.0,70.0,80.0,0,0.0,Medium,Yes,0,Medium,3.030506101
Female,17,Mia Jones,Nevada,Rural,GT3,T,Graduate,Graduate,At_home,Teacher,Father,60.0,70.0,60.0,80.0,0,0.0,Medium,Yes,0,Medium,3.030266053
Female,15,Olivia Brown,California,Rural,LE3,A,Graduate,Graduate,Teacher,Teacher,Father,60.0,70.0,70.0,70.0,0,0.0,Medium,No,0,Medium,
Female,16,Emma Brown,Oregon,Rural,LE3,A,PostGraduate,PostGraduate,Health,Health,Other,90.0,90.0,100.0,100.0,0,0.0,High,Yes,0,High,3.58909782
Female,17,Mia Brown,Oregon,Rural,LE3,T,Graduate,Graduate,Services,At_home,Other,60.0,60.0,60.0,70.0,0,0.0,Medium,No,0,Medium,3.029305861
Male,15,Liam Jones,Nevada,Rural,LE3,A,Graduate,Graduate,Other,Other,Father,60.0,60.0,60.0,80.0,0,0.0,Medium,Yes,0,Medium,3.017543509
Female,15,Evelyn Smith,Arizona,Urban,LE3,A,Graduate,Graduate,Other,Teacher,Other,70.0,60.0,60.0,80.0,0,0.0,Medium,No,0,Medium,3.017063413
Female,15,Ava Jones,California,Urban,LE3,T,Graduate,Graduate,Other,Other,Mother,60.0,60.0,60.0,70.0,0,0.0,Medium,No,0,Medium,
Female,15,Evelyn Brown,Utah,Rural,LE3,A,Graduate,Graduate,Services,Health,Other,60.0,60.0,70.0,70.0,0,0.0,Medium,Yes,0,Medium,
Male,17,Lucas Johnson,Nevada,Rural,GT3,A,Graduate,Graduate,Health,Health,Mother,70.0,70.0,70.0,80.0,0,0.0,Medium,Yes,0,Medium,3.162772555
Male,16,Logan Johnson,Nevada,Rural,LE3,T,Graduate,Graduate,Teacher,At_home,Mother,60.0,70.0,60.0,80.0,0,0.0,Medium,Yes,0,Medium,3.106841368
Male,16,Elijah Brown,Utah,Urban,LE3,A,Graduate,Graduate,At_home,Services,Mother,70.0,60.0,70.0,70.0,0,,Medium,No,0,Medium,3.115003001
Female,17,Emma Jones,Nevada,Rural,GT3,A,Graduate,Graduate,Health,Other,Father,70.0,70.0,60.0,80.0,0,0.0,Medium,No,0,Medium,3.022344469
Female,15,Amelia Johnson,Utah,Urban,GT3,A,Graduate,Graduate,Services,Teacher,Other,70.0,,60.0,70.0,0,0.0,Medium,No,0,Medium,3.021384277
Female,17,Isabella Johnson,California,Rural,LE3,A,Graduate,Graduate,Teacher,Services,Mother,60.0,60.0,70.0,70.0,0,0.0,Medium,Yes,0,Medium,3.101320264
Male,15,Mason Williams,Oregon,Urban,GT3,T,Graduate,Graduate,At_home,Other,Father,60.0,70.0,60.0,80.0,0,0.0,Medium,No,0,Medium,3.019463893
Female,15,Evelyn Williams,Oregon,Urban,LE3,A,Graduate,Graduate,Teacher,Other,Other,70.0,,60.0,80.0,0,0.0,Medium,Yes,0,Medium,3.033626725
Female,15,Harper Jones,Arizona,Rural,LE3,T,Graduate,Graduate,At_home,Services,Other,60.0,60.0,70.0,80.0,0,0.0,Medium,No,0,Medium,3.047309462
Male,15,Logan Brown,Arizona,Urban,LE3,A,Graduate,Graduate,At_home,Services,Father,60.0,70.0,70.0,80.0,0,0.0,Medium,Yes,0,Medium,3.04634927
Female,18,Emma Brown,California,Urban,LE3,T,PostGraduate,PostGraduate,Other,At_home,Other,80.0,,100.0,100.0,0,0.0,High,No,0,High,3.587177435
Female,15,Emma Johnson,Oregon,Urban,GT3,A,Graduate,Graduate,Services,Teacher,Father,60.0,60.0,70.0,70.0,0,0.0,Medium,Yes,0,Medium,3.048509702
